dhb,age,sex,Maori,Pacific,Asian,MELAA,Other,European,Total Stated,Not Elsewhere Included,Total
Northland,29,F,246,12,36,6,6,309,612,45,657
Northland,29,Total,444,24,69,6,15,627,"1,191",117,"1,305"
Northland,30,M,198,12,36,3,9,270,531,72,603
Northland,30,F,243,15,30,3,3,363,660,60,720
Northland,30,Total,444,27,69,6,18,630,"1,188",135,"1,320"
Northland,31,M,177,12,30,3,12,312,546,75,624
Northland,31,F,267,6,36,3,9,339,660,60,723
Northland,31,Total,444,15,66,6,21,654,"1,209",138,"1,344"
Northland,32,M,204,9,15,3,6,324,567,51,615
Northland,32,F,222,12,27,6,6,324,600,54,657
Northland,32,Total,432,18,45,12,12,651,"1,167",105,"1,272"
Northland,33,M,177,18,24,3,6,300,528,63,588
Northland,33,F,258,12,33,3,6,351,663,63,723
Northland,33,Total,432,30,60,3,12,648,"1,188",126,"1,311"
Northland,34,M,177,12,27,3,6,327,549,66,615
Northland,34,F,252,12,21,6,3,369,663,63,726
Northland,34,Total,426,21,48,9,9,696,"1,212",126,"1,341"
Northland,35,M,210,18,21,3,15,297,564,60,627
Northland,35,F,255,12,33,9,12,393,705,60,765
Northland,35,Total,465,27,54,12,24,687,"1,272",117,"1,392"
Northland,36,M,192,15,30,3,18,354,612,48,660
Northland,36,F,291,12,27,6,9,438,786,51,837
Northland,36,Total,483,30,57,6,27,792,"1,398",102,"1,497"
Northland,37,M,219,15,24,3,12,369,639,60,699
Northland,37,F,258,21,33,3,9,438,759,87,849
Northland,37,Total,477,33,57,9,18,804,"1,401",147,"1,545"
Northland,38,M,204,12,24,9,21,441,711,72,786
Northland,38,F,306,15,24,6,15,483,852,69,918
Northland,38,Total,510,30,48,15,36,924,"1,563",138,"1,701"
Northland,39,M,231,18,27,3,24,444,744,66,813
Northland,39,F,294,18,24,6,21,516,876,75,951
Northland,39,Total,525,33,54,9,42,960,"1,620",144,"1,764"
Northland,40,M,243,15,30,6,24,441,765,69,834
Northland,40,F,315,15,36,6,18,537,927,78,"1,005"
Northland,40,Total,558,30,66,15,42,978,"1,686",150,"1,839"
Northland,41,M,261,18,30,3,27,501,843,84,927
Northland,41,F,309,18,42,3,15,597,984,72,"1,056"
Northland,41,Total,570,36,72,6,42,"1,098","1,824",156,"1,980"
Northland,42,M,237,18,21,3,15,495,792,78,873
Northland,42,F,312,18,42,6,18,600,996,84,"1,080"
Northland,42,Total,549,36,66,9,36,"1,098","1,788",165,"1,953"
Northland,43,M,246,9,33,3,24,570,885,102,990
Northland,43,F,267,18,48,3,15,597,948,81,"1,029"
Northland,43,Total,513,30,78,6,39,"1,170","1,833",186,"2,019"
Northland,44,M,249,21,24,3,21,540,855,87,945
Northland,44,F,264,21,42,3,21,678,"1,023",75,"1,101"
Northland,44,Total,510,39,63,3,42,"1,218","1,881",162,"2,043"
Northland,45,M,267,18,15,6,15,558,885,69,954
Northland,45,F,333,15,36,3,21,639,"1,050",87,"1,137"
Northland,45,Total,600,33,54,9,39,"1,200","1,932",159,"2,091"
Northland,46,M,255,21,21,3,27,579,912,75,987
Northland,46,F,267,18,30,6,21,645,990,78,"1,065"
Northland,46,Total,525,42,51,9,48,"1,227","1,899",150,"2,049"
Northland,47,M,246,9,21,3,21,576,879,87,963
Northland,47,F,303,15,42,6,15,636,"1,020",72,"1,092"
Northland,47,Total,549,27,63,12,36,"1,212","1,896",156,"2,055"
Northland,48,M,276,18,21,9,30,570,921,78,"1,002"
Northland,48,F,306,9,30,3,21,702,"1,068",93,"1,161"
Northland,48,Total,579,24,51,12,48,"1,272","1,986",174,"2,160"
Northland,49,M,267,12,24,3,24,627,957,105,"1,065"
Northland,49,F,333,15,27,3,21,714,"1,110",102,"1,209"
Northland,49,Total,600,27,54,3,42,"1,338","2,067",210,"2,274"
Northland,50,M,306,6,21,3,39,639,"1,011",102,"1,113"
Northland,50,F,333,15,45,3,18,729,"1,143",102,"1,245"
Northland,50,Total,639,24,66,3,57,"1,365","2,154",204,"2,358"
Northland,51,M,282,9,12,3,27,657,996,105,"1,101"
Northland,51,F,318,18,24,3,18,714,"1,089",102,"1,194"
