dhb,age,sex,Maori,Pacific,Asian,MELAA,Other,European,Total Stated,Not Elsewhere Included,Total
Lakes,50,M,177,12,18,3,12,414,636,54,690
Lakes,50,F,204,18,36,3,12,402,672,57,729
Lakes,50,Total,378,30,54,3,24,816,"1,308",111,"1,419"
Lakes,51,M,177,24,30,3,15,396,645,66,711
Lakes,51,F,213,18,39,3,12,474,759,48,810
Lakes,51,Total,390,42,69,3,33,870,"1,407",114,"1,518"
Lakes,52,M,147,15,21,3,9,417,609,63,672
Lakes,52,F,222,6,24,3,18,417,693,57,750
Lakes,52,Total,369,21,48,6,27,831,"1,302",120,"1,422"
Lakes,53,M,183,12,18,3,12,399,627,60,687
Lakes,53,F,198,6,21,3,9,450,687,48,738
Lakes,53,Total,381,18,39,3,21,852,"1,314",111,"1,425"
Lakes,54,M,159,9,15,3,27,366,579,39,618
Lakes,54,F,171,24,24,3,6,369,594,33,627
Lakes,54,Total,333,33,39,3,33,735,"1,176",69,"1,245"
Lakes,55,M,153,9,18,3,9,417,606,39,645
Lakes,55,F,180,15,27,3,9,390,624,42,666
Lakes,55,Total,333,24,48,3,18,807,"1,230",81,"1,311"
Lakes,56,M,147,18,15,3,15,384,579,39,618
Lakes,56,F,168,9,21,3,6,372,582,33,615
Lakes,56,Total,315,30,36,3,21,759,"1,161",75,"1,233"
Lakes,57,M,129,15,21,3,12,333,510,54,564
Lakes,57,F,165,9,21,3,12,423,627,54,681
Lakes,57,Total,294,21,42,3,24,756,"1,137",105,"1,245"
Lakes,58,M,99,6,12,3,9,381,513,54,567
Lakes,58,F,141,6,21,3,9,393,567,45,612
Lakes,58,Total,243,15,30,3,18,771,"1,083",96,"1,179"
Lakes,59,M,108,6,15,3,15,393,537,42,579
Lakes,59,F,126,9,21,3,12,417,588,39,627
Lakes,59,Total,234,15,33,3,27,810,"1,122",81,"1,206"
Lakes,60,M,135,3,6,3,9,369,528,27,555
Lakes,60,F,126,6,24,3,12,390,555,42,597
Lakes,60,Total,261,9,30,3,18,762,"1,080",72,"1,152"
Lakes,61,M,87,6,12,3,15,360,480,48,528
Lakes,61,F,138,6,12,3,3,360,519,39,561
Lakes,61,Total,225,12,24,3,18,720,"1,002",87,"1,086"
Lakes,62,M,105,9,9,3,9,351,486,48,531
Lakes,62,F,126,6,15,3,12,411,576,39,615
Lakes,62,Total,234,15,27,3,24,762,"1,065",81,"1,146"
Lakes,63,M,99,3,9,3,9,381,498,36,534
Lakes,63,F,114,3,18,3,12,405,552,39,594
Lakes,63,Total,210,12,24,3,18,786,"1,053",75,"1,128"
Lakes,64,M,75,6,12,3,6,402,501,39,540
Lakes,64,F,108,6,15,3,18,393,540,33,570
Lakes,64,Total,183,12,24,3,24,795,"1,038",75,"1,113"
Lakes,65,M,84,3,9,3,15,393,504,33,537
Lakes,65,F,87,3,15,3,9,444,558,33,591
Lakes,65,Total,171,9,24,3,21,837,"1,062",66,"1,131"
Lakes,66,M,72,3,3,3,15,399,495,27,519
Lakes,66,F,87,3,6,3,6,435,534,42,579
Lakes,66,Total,159,3,12,3,21,834,"1,029",69,"1,095"
Lakes,67,M,72,6,3,3,15,336,432,30,465
Lakes,67,F,63,3,3,3,9,312,393,36,426
Lakes,67,Total,138,9,6,3,21,648,825,66,891
Lakes,68,M,57,3,6,3,6,297,378,21,399
Lakes,68,F,75,3,3,3,3,318,402,36,441
Lakes,68,Total,132,6,12,3,12,615,780,57,837
Lakes,69,M,57,3,3,3,9,309,381,24,402
Lakes,69,F,81,3,3,3,6,318,417,45,465
Lakes,69,Total,138,6,9,3,15,624,798,69,867
Lakes,70,M,63,3,3,3,3,294,369,30,399
Lakes,70,F,75,3,6,3,9,303,402,33,432
Lakes,70,Total,138,9,12,3,12,600,768,60,831
Lakes,71,M,51,3,3,3,12,306,381,21,402
Lakes,71,F,57,3,6,3,9,327,405,27,432
Lakes,71,Total,111,6,9,3,18,633,783,51,837
Lakes,72,M,69,3,3,3,18,333,429,33,462
Lakes,72,F,69,3,6,3,3,294,375,27,399
Lakes,72,Total,138,3,12,3,21,627,801,60,861
Lakes,73,M,45,3,9,3,9,252,318,18,336
Lakes,73,F,57,3,3,3,3,258,324,15,339
Lakes,73,Total,102,3,9,3,12,510,642,33,672
Lakes,74,M,30,3,3,3,3,234,276,15,288
Lakes,74,F,48,3,6,3,3,261,321,24,345
Lakes,74,Total,78,3,12,3,3,495,597,36,633
Lakes,75,M,39,3,3,3,3,219,261,21,279
Lakes,75,F,45,3,6,3,3,219,270,24,294
Lakes,75,Total,78,3,9,3,3,438,534,42,576
Lakes,76,M,36,3,3,3,3,192,234,18,255
Lakes,76,F,54,3,3,3,3,198,264,21,285
Lakes,76,Total,90,6,6,3,3,393,498,39,537
Lakes,77,M,30,3,3,3,3,186,222,9,231
Lakes,77,F,42,3,3,3,3,207,249,15,264
Lakes,77,Total,72,3,3,3,3,390,474,21,495
Lakes,78,M,30,3,3,3,6,171,216,18,234
Lakes,78,F,30,3,3,3,3,192,228,12,240
Lakes,78,Total,57,3,9,3,6,366,444,30,474
Lakes,79,M,24,3,3,3,3,162,192,9,201
Lakes,79,F,24,3,3,3,3,180,213,18,231
Lakes,79,Total,45,3,6,3,3,345,402,30,429
Lakes,80,M,18,3,3,3,3,177,198,12,210
Lakes,80,F,27,3,3,3,3,186,222,15,234
Lakes,80,Total,45,9,3,3,3,357,420,27,447
Lakes,81,M,12,3,3,3,3,153,168,6,174
Lakes,81,F,27,3,3,3,3,171,204,18,222
Lakes,81,Total,36,3,3,3,3,324,372,24,396
Lakes,82,M,18,3,3,3,3,141,162,6,168
Lakes,82,F,33,3,3,3,3,150,192,6,198
Lakes,82,Total,51,6,3,3,3,291,351,15,369
Lakes,83,M,12,3,3,3,3,138,153,12,162
Lakes,83,F,9,3,3,3,3,180,195,9,204
Lakes,83,Total,21,3,3,3,3,318,348,21,366
Lakes,84,M,18,3,3,3,3,93,117,9,123
Lakes,84,F,15,3,3,3,3,135,156,15,171
Lakes,84,Total,36,3,3,3,3,228,270,24,294
Lakes,85,M,9,3,3,3,3,99,111,3,117
Lakes,85,F,21,3,3,3,3,132,156,12,168
Lakes,85,Total,30,3,3,3,3,231,267,15,285
Lakes,86,M,9,3,3,3,3,75,87,9,96
Lakes,86,F,9,3,3,3,3,123,135,6,141
Lakes,86,Total,18,3,3,3,3,201,222,15,237
Lakes,87,M,3,3,3,3,3,66,66,3,75
Lakes,87,F,15,3,3,3,3,105,123,6,126
Lakes,87,Total,15,3,3,3,3,171,189,12,201
Lakes,88,M,3,3,3,3,3,57,57,3,63
Lakes,88,F,6,3,3,3,3,93,102,12,114
Lakes,88,Total,9,3,3,3,3,150,162,18,177
Lakes,89,M,3,3,3,3,3,42,42,3,51
Lakes,89,F,3,3,3,3,3,96,105,6,114
Lakes,89,Total,6,3,3,3,3,138,147,12,162
Lakes,90,M,3,3,3,3,3,27,30,3,33
Lakes,90,F,3,3,3,3,3,69,72,3,72
Lakes,90,Total,3,3,3,3,3,96,99,3,105
Lakes,91,M,3,3,3,3,3,30,30,3,33
Lakes,91,F,3,3,3,3,3,45,48,3,51
Lakes,91,Total,3,3,3,3,3,78,81,6,84
Lakes,92,M,3,3,3,3,3,24,27,3,30
Lakes,92,F,3,3,3,3,3,39,39,3,42
Lakes,92,Total,3,3,3,3,3,60,69,3,72
Lakes,93,M,3,3,3,3,3,12,12,3,12
Lakes,93,F,3,3,3,3,3,36,42,3,42
Lakes,93,Total,3,3,3,3,3,48,54,3,54
Lakes,94,M,3,3,3,3,3,6,9,3,12
Lakes,94,F,3,3,3,3,3,36,39,3,42
Lakes,94,Total,3,3,3,3,3,42,45,6,54
Lakes,95,M,3,3,3,3,3,6,9,3,9
Lakes,95,F,3,3,3,3,3,15,18,3,21
Lakes,95,Total,3,3,3,3,3,21,24,3,30
Lakes,96,M,3,3,3,3,3,9,9,3,9
Lakes,96,F,3,3,3,3,3,12,15,3,12
Lakes,96,Total,3,3,3,3,3,21,24,3,24
Lakes,97,M,3,3,3,3,3,3,3,3,3
Lakes,97,F,3,3,3,3,3,3,3,3,3
Lakes,97,Total,3,3,3,3,3,6,9,3,9
Lakes,98,M,3,3,3,3,3,3,3,3,3
Lakes,98,F,3,3,3,3,3,6,9,3,9
Lakes,98,Total,3,3,3,3,3,9,9,3,9
Lakes,99,M,3,3,3,3,3,3,3,3,3
Lakes,99,F,3,3,3,3,3,3,3,3,6
Lakes,99,Total,3,3,3,3,3,3,3,3,6
Lakes,100,M,3,3,3,3,3,3,3,3,3
Lakes,100,F,3,3,3,3,3,6,9,3,9
Lakes,100,Total,3,3,3,3,3,6,9,3,9
Lakes,Total,M,"14,907","1,092","2,196",204,837,"24,804","44,046","3,642","47,685"
Lakes,Total,F,"16,533",984,"2,232",195,663,"26,274","46,884","3,615","50,502"
Lakes,Total,Total,"31,443","2,076","4,428",399,"1,503","51,081","90,930","7,257","98,187"
BoP,0,M,543,42,93,6,9,645,"1,338",81,"1,422"
BoP,0,F,504,33,81,3,9,606,"1,239",96,"1,332"
BoP,0,Total,"1,047",75,174,9,21,"1,251","2,574",180,"2,754"
BoP,1,M,522,33,78,15,12,618,"1,275",72,"1,350"
BoP,1,F,453,36,69,6,15,615,"1,200",75,"1,272"
BoP,1,Total,975,69,147,21,24,"1,236","2,472",147,"2,622"
BoP,2,M,582,30,87,3,15,660,"1,380",78,"1,458"
BoP,2,F,519,42,63,3,18,642,"1,287",87,"1,371"
BoP,2,Total,"1,101",75,153,9,33,"1,302","2,670",162,"2,829"
BoP,3,M,567,21,78,3,21,708,"1,392",96,"1,491"
BoP,3,F,534,39,60,3,18,663,"1,323",81,"1,404"
BoP,3,Total,"1,101",60,138,6,39,"1,371","2,715",177,"2,895"
BoP,4,M,540,39,78,6,21,723,"1,407",84,"1,494"
BoP,4,F,513,27,69,9,18,684,"1,317",90,"1,407"
BoP,4,Total,"1,056",66,147,15,36,"1,407","2,727",174,"2,901"
BoP,5,M,615,33,78,9,21,741,"1,497",78,"1,575"
BoP,5,F,567,36,69,3,18,696,"1,386",102,"1,488"
BoP,5,Total,"1,179",69,147,12,42,"1,434","2,883",180,"3,060"
BoP,6,M,561,33,75,3,24,711,"1,407",81,"1,488"
BoP,6,F,525,27,84,12,15,687,"1,347",78,"1,428"
BoP,6,Total,"1,086",60,156,15,39,"1,398","2,757",159,"2,916"
BoP,7,M,558,36,66,9,18,714,"1,404",108,"1,509"
BoP,7,F,522,30,57,3,18,672,"1,302",93,"1,398"
BoP,7,Total,"1,077",66,126,12,39,"1,386","2,703",204,"2,907"
BoP,8,M,540,24,63,3,21,729,"1,377",66,"1,443"
BoP,8,F,504,27,54,6,18,675,"1,287",69,"1,356"
BoP,8,Total,"1,044",51,120,9,39,"1,401","2,664",135,"2,799"
BoP,9,M,555,42,75,3,27,705,"1,407",78,"1,485"
BoP,9,F,525,30,69,3,15,723,"1,359",99,"1,458"
BoP,9,Total,"1,080",69,141,6,39,"1,425","2,766",174,"2,943"
BoP,10,M,480,27,78,3,18,666,"1,272",69,"1,344"
BoP,10,F,477,36,60,9,18,666,"1,269",81,"1,350"
BoP,10,Total,960,63,138,15,36,"1,335","2,544",150,"2,694"
BoP,11,M,564,27,69,3,12,816,"1,491",99,"1,593"
BoP,11,F,552,42,72,3,24,726,"1,419",75,"1,494"
BoP,11,Total,"1,116",69,141,9,36,"1,542","2,913",171,"3,084"
BoP,12,M,558,27,69,3,6,834,"1,497",72,"1,569"
BoP,12,F,531,30,45,6,21,738,"1,374",96,"1,470"
BoP,12,Total,"1,086",60,111,9,30,"1,572","2,871",168,"3,039"
BoP,13,M,588,36,54,3,15,807,"1,503",87,"1,593"
BoP,13,F,522,27,66,3,18,762,"1,398",90,"1,491"
BoP,13,Total,"1,110",63,123,3,33,"1,566","2,904",177,"3,084"
BoP,14,M,510,30,66,3,12,840,"1,467",87,"1,554"
BoP,14,F,480,39,60,3,12,750,"1,341",99,"1,443"
BoP,14,Total,990,69,129,9,24,"1,587","2,808",189,"2,997"
BoP,15,M,522,36,66,6,15,828,"1,473",93,"1,566"
BoP,15,F,471,27,69,6,9,768,"1,350",99,"1,452"
BoP,15,Total,993,66,135,12,24,"1,596","2,823",192,"3,015"
BoP,16,M,516,27,72,3,15,798,"1,431",81,"1,512"
BoP,16,F,477,36,60,3,9,777,"1,365",84,"1,449"
BoP,16,Total,990,63,132,9,21,"1,578","2,793",168,"2,961"
BoP,17,M,480,30,57,6,9,807,"1,392",87,"1,479"
BoP,17,F,486,30,42,3,9,711,"1,281",96,"1,377"
BoP,17,Total,966,60,99,12,18,"1,518","2,673",183,"2,859"
BoP,18,M,390,24,63,3,6,549,"1,029",78,"1,110"
BoP,18,F,360,24,24,3,15,480,909,87,993
BoP,18,Total,747,48,84,6,21,"1,032","1,938",162,"2,100"
BoP,19,M,366,18,78,3,15,498,978,78,"1,056"
BoP,19,F,372,18,30,3,3,501,927,69,993
BoP,19,Total,738,33,105,3,21,999,"1,902",147,"2,049"
BoP,20,M,333,24,102,6,6,489,957,66,"1,023"
BoP,20,F,339,15,36,3,3,501,903,90,993
BoP,20,Total,672,42,141,12,12,990,"1,860",156,"2,016"
BoP,21,M,297,18,135,9,9,519,987,105,"1,089"
BoP,21,F,321,15,42,9,9,561,954,78,"1,032"
BoP,21,Total,618,36,177,15,18,"1,080","1,941",180,"2,121"
BoP,22,M,303,33,144,3,12,522,"1,017",93,"1,110"
BoP,22,F,372,27,57,3,6,546,"1,011",81,"1,095"
BoP,22,Total,675,63,198,9,18,"1,068","2,031",177,"2,208"
BoP,23,M,291,27,117,3,9,477,924,90,"1,014"
BoP,23,F,327,21,60,3,9,522,945,105,"1,047"
BoP,23,Total,618,48,177,6,18,"1,002","1,872",192,"2,061"
BoP,24,M,243,24,90,12,12,513,894,84,978
BoP,24,F,321,18,69,12,12,558,990,93,"1,083"
BoP,24,Total,564,42,165,21,24,"1,065","1,884",177,"2,061"
BoP,25,M,252,18,123,6,15,483,897,78,975
BoP,25,F,306,15,108,6,6,531,978,75,"1,053"
BoP,25,Total,558,36,231,15,21,"1,014","1,872",153,"2,025"
BoP,26,M,261,24,108,15,12,420,837,72,909
BoP,26,F,282,15,120,18,9,492,933,66,999
BoP,26,Total,540,39,225,36,18,909,"1,770",138,"1,908"
BoP,27,M,231,21,93,9,18,510,885,84,972
BoP,27,F,282,21,90,6,9,516,930,63,993
BoP,27,Total,513,42,183,18,30,"1,026","1,815",147,"1,962"
BoP,28,M,216,18,90,9,6,435,774,63,834
BoP,28,F,285,21,99,6,6,540,960,81,"1,038"
BoP,28,Total,501,39,189,15,15,975,"1,734",141,"1,875"
BoP,29,M,231,21,93,12,12,489,861,81,942
BoP,29,F,279,21,102,9,12,594,"1,020",72,"1,086"
BoP,29,Total,513,45,192,21,27,"1,086","1,881",150,"2,031"
BoP,30,M,231,24,90,15,15,471,849,81,930
BoP,30,F,273,12,78,24,12,579,981,60,"1,038"
BoP,30,Total,504,36,168,39,30,"1,050","1,830",141,"1,968"
BoP,31,M,246,21,66,24,21,468,843,75,918
BoP,31,F,303,24,87,12,6,537,975,78,"1,047"
BoP,31,Total,552,45,153,36,24,"1,008","1,815",150,"1,968"
BoP,32,M,237,21,84,18,21,522,900,66,969
BoP,32,F,282,21,84,15,21,642,"1,062",84,"1,149"
BoP,32,Total,519,42,168,33,39,"1,161","1,965",150,"2,112"
BoP,33,M,228,18,78,18,15,501,864,72,933
BoP,33,F,315,21,84,15,18,612,"1,065",54,"1,122"
BoP,33,Total,543,39,162,33,33,"1,113","1,929",126,"2,055"
BoP,34,M,231,21,78,21,21,504,873,72,945
BoP,34,F,330,18,84,15,12,651,"1,107",60,"1,167"
BoP,34,Total,558,39,162,33,33,"1,155","1,980",132,"2,112"
BoP,35,M,240,21,60,15,15,606,957,78,"1,035"
BoP,35,F,309,18,90,6,21,645,"1,083",69,"1,152"
BoP,35,Total,549,39,147,21,33,"1,248","2,040",147,"2,187"
BoP,36,M,261,18,75,15,12,606,987,72,"1,062"
BoP,36,F,297,24,87,12,18,648,"1,089",60,"1,149"
BoP,36,Total,558,39,165,27,30,"1,251","2,076",135,"2,211"
BoP,37,M,261,27,63,3,24,573,957,66,"1,020"
BoP,37,F,324,18,72,15,15,753,"1,197",66,"1,263"
BoP,37,Total,585,45,135,18,39,"1,326","2,151",132,"2,283"
BoP,38,M,288,18,60,12,33,705,"1,113",78,"1,194"
BoP,38,F,312,21,93,9,15,894,"1,344",69,"1,413"
BoP,38,Total,600,42,153,18,48,"1,602","2,457",150,"2,607"
BoP,39,M,249,21,66,6,27,732,"1,101",78,"1,179"
BoP,39,F,342,21,81,9,21,849,"1,320",69,"1,395"
BoP,39,Total,591,42,147,12,48,"1,581","2,421",150,"2,574"
BoP,40,M,285,21,66,6,27,807,"1,212",93,"1,305"
BoP,40,F,333,18,90,6,24,936,"1,413",84,"1,494"
BoP,40,Total,618,42,153,15,54,"1,743","2,625",177,"2,799"
BoP,41,M,243,21,60,6,30,762,"1,122",72,"1,194"
BoP,41,F,321,24,66,9,24,912,"1,359",93,"1,449"
BoP,41,Total,564,45,126,15,54,"1,677","2,478",165,"2,646"
BoP,42,M,267,18,66,3,39,879,"1,269",93,"1,365"
BoP,42,F,324,27,81,9,21,"1,077","1,539",84,"1,623"
BoP,42,Total,588,45,144,15,60,"1,956","2,811",177,"2,985"
BoP,43,M,261,21,75,9,39,870,"1,272",72,"1,344"
BoP,43,F,309,27,69,9,18,"1,032","1,467",90,"1,554"
BoP,43,Total,570,51,144,18,57,"1,902","2,739",162,"2,901"
BoP,44,M,267,24,42,15,24,843,"1,215",78,"1,293"
BoP,44,F,306,15,69,3,21,"1,014","1,434",72,"1,506"
BoP,44,Total,576,39,114,18,45,"1,857","2,646",153,"2,799"
BoP,45,M,234,24,60,6,27,858,"1,212",72,"1,284"
BoP,45,F,306,12,60,3,24,990,"1,398",75,"1,473"
BoP,45,Total,540,36,120,12,51,"1,848","2,610",147,"2,757"
BoP,46,M,243,18,54,3,33,849,"1,197",75,"1,272"
BoP,46,F,285,18,60,3,27,"1,056","1,446",84,"1,530"
BoP,46,Total,528,39,111,9,57,"1,902","2,646",159,"2,802"
BoP,47,M,246,12,42,6,30,861,"1,194",90,"1,284"
BoP,47,F,282,18,63,6,27,"1,014","1,410",66,"1,473"
BoP,47,Total,528,33,105,12,54,"1,872","2,604",156,"2,760"
BoP,48,M,255,15,39,3,33,909,"1,254",87,"1,338"
BoP,48,F,306,30,57,9,24,999,"1,422",81,"1,503"
BoP,48,Total,561,45,93,12,54,"1,908","2,673",165,"2,838"
BoP,49,M,243,18,36,3,36,954,"1,296",81,"1,377"
BoP,49,F,327,6,51,3,18,"1,041","1,449",66,"1,515"
BoP,49,Total,573,27,87,9,57,"1,998","2,748",147,"2,895"
BoP,50,M,261,12,36,3,42,969,"1,323",102,"1,428"
BoP,50,F,312,15,60,3,33,"1,095","1,515",84,"1,599"
BoP,50,Total,573,27,96,3,75,"2,064","2,838",186,"3,027"
BoP,51,M,297,12,24,3,42,996,"1,374",81,"1,455"
BoP,51,F,285,12,45,3,21,"1,080","1,446",87,"1,536"
BoP,51,Total,579,27,72,3,63,"2,076","2,823",165,"2,991"
BoP,52,M,285,21,39,3,42,960,"1,350",87,"1,437"
BoP,52,F,336,15,48,6,39,"1,155","1,593",87,"1,680"
BoP,52,Total,624,33,84,6,78,"2,118","2,943",174,"3,117"
BoP,53,M,222,15,30,3,36,906,"1,212",78,"1,290"
BoP,53,F,270,15,42,3,27,"1,032","1,392",81,"1,473"
BoP,53,Total,495,30,75,6,60,"1,938","2,604",159,"2,766"
BoP,54,M,255,12,24,3,39,933,"1,263",66,"1,332"
BoP,54,F,267,9,39,3,21,"1,047","1,386",84,"1,470"
BoP,54,Total,522,24,66,3,57,"1,980","2,652",150,"2,802"
BoP,55,M,207,18,33,3,27,900,"1,185",72,"1,260"
BoP,55,F,246,6,36,3,27,"1,047","1,368",75,"1,443"
BoP,55,Total,453,24,69,3,54,"1,950","2,553",147,"2,700"
BoP,56,M,195,9,27,3,54,987,"1,278",87,"1,362"
BoP,56,F,258,9,45,6,24,"1,056","1,398",84,"1,482"
BoP,56,Total,453,15,72,9,78,"2,043","2,676",171,"2,841"
BoP,57,M,207,15,30,3,30,876,"1,161",75,"1,239"
BoP,57,F,258,6,33,3,30,"1,029","1,356",75,"1,434"
BoP,57,Total,465,24,63,3,60,"1,905","2,520",150,"2,673"
BoP,58,M,201,6,33,3,36,945,"1,221",78,"1,299"
BoP,58,F,237,9,39,3,33,"1,011","1,329",63,"1,389"
BoP,58,Total,438,15,69,3,69,"1,959","2,550",138,"2,688"
BoP,59,M,186,15,24,3,33,930,"1,194",54,"1,245"
BoP,59,F,216,6,39,3,24,"1,083","1,371",78,"1,449"
BoP,59,Total,405,18,66,3,57,"2,016","2,565",132,"2,697"
BoP,60,M,177,9,24,3,24,912,"1,149",66,"1,215"
BoP,60,F,180,3,30,3,24,984,"1,224",69,"1,293"
BoP,60,Total,357,12,51,3,51,"1,896","2,370",138,"2,508"
BoP,61,M,168,15,21,3,27,930,"1,164",66,"1,233"
BoP,61,F,207,12,36,3,27,918,"1,197",63,"1,260"
BoP,61,Total,378,24,60,3,51,"1,848","2,361",135,"2,493"
BoP,62,M,165,15,24,3,33,894,"1,128",54,"1,185"
BoP,62,F,180,9,33,3,18,"1,026","1,266",69,"1,335"
BoP,62,Total,342,21,57,3,54,"1,917","2,397",120,"2,517"
BoP,63,M,159,9,15,3,21,915,"1,122",66,"1,188"
BoP,63,F,177,6,36,3,15,987,"1,224",66,"1,290"
BoP,63,Total,339,18,51,3,33,"1,902","2,349",132,"2,478"
BoP,64,M,153,6,27,3,39,948,"1,176",63,"1,239"
BoP,64,F,165,3,27,3,18,"1,011","1,224",51,"1,275"
BoP,64,Total,315,12,54,3,54,"1,962","2,400",117,"2,514"
BoP,65,M,159,3,15,3,33,"1,014","1,227",51,"1,278"
BoP,65,F,144,9,24,3,27,"1,119","1,320",78,"1,401"
BoP,65,Total,300,15,39,3,60,"2,130","2,547",129,"2,679"
BoP,66,M,111,6,27,3,42,942,"1,137",69,"1,206"
BoP,66,F,135,9,18,3,18,"1,071","1,254",57,"1,311"
BoP,66,Total,249,15,45,3,60,"2,013","2,391",129,"2,520"
BoP,67,M,111,3,15,3,27,921,"1,083",48,"1,131"
BoP,67,F,120,6,21,3,21,900,"1,068",60,"1,128"
BoP,67,Total,234,9,39,3,48,"1,821","2,154",105,"2,259"
BoP,68,M,96,9,12,3,21,867,"1,005",48,"1,053"
BoP,68,F,108,3,15,3,18,909,"1,053",57,"1,113"
BoP,68,Total,204,9,30,3,39,"1,779","2,061",105,"2,166"
BoP,69,M,96,3,9,3,21,756,882,36,921
BoP,69,F,93,12,12,3,18,873,"1,008",57,"1,065"
BoP,69,Total,189,15,21,3,36,"1,629","1,893",93,"1,986"
BoP,70,M,102,3,12,3,21,783,921,45,963
BoP,70,F,96,3,12,3,21,831,966,39,"1,002"
BoP,70,Total,198,6,24,3,42,"1,614","1,884",81,"1,968"
BoP,71,M,84,3,9,3,21,786,909,42,951
BoP,71,F,108,3,9,3,21,981,"1,122",45,"1,170"
BoP,71,Total,195,9,18,3,42,"1,767","2,031",87,"2,118"
BoP,72,M,81,3,12,3,21,780,891,48,942
BoP,72,F,120,3,9,3,15,885,"1,032",54,"1,086"
BoP,72,Total,198,3,21,3,33,"1,665","1,923",105,"2,025"
BoP,73,M,96,3,6,3,18,714,834,36,873
BoP,73,F,81,3,6,3,18,774,882,42,927
BoP,73,Total,177,6,15,3,36,"1,485","1,716",81,"1,800"
BoP,74,M,57,3,6,3,18,723,810,33,843
BoP,74,F,93,3,9,3,21,768,897,33,930
BoP,74,Total,150,9,15,3,42,"1,491","1,707",66,"1,770"
BoP,75,M,60,3,9,3,15,636,720,36,756
BoP,75,F,60,3,6,3,12,747,828,33,861
BoP,75,Total,120,3,15,3,24,"1,383","1,548",69,"1,614"
BoP,76,M,54,6,3,3,15,561,636,27,663
BoP,76,F,75,3,3,3,9,639,726,36,759
BoP,76,Total,126,9,3,3,24,"1,200","1,362",60,"1,422"
BoP,77,M,57,3,3,3,12,570,648,30,678
BoP,77,F,57,3,3,3,12,612,687,33,720
BoP,77,Total,117,6,9,3,21,"1,182","1,338",60,"1,398"
BoP,78,M,54,3,9,3,21,522,606,33,636
BoP,78,F,51,3,3,3,3,585,642,24,669
BoP,78,Total,105,3,12,3,24,"1,104","1,248",57,"1,305"
BoP,79,M,36,3,3,3,6,465,516,15,531
BoP,79,F,57,3,3,3,12,597,669,36,705
BoP,79,Total,93,3,6,3,18,"1,065","1,185",54,"1,236"
BoP,80,M,21,3,3,3,9,477,516,24,540
BoP,80,F,48,3,3,3,3,537,591,27,621
BoP,80,Total,69,3,3,3,12,"1,011","1,107",54,"1,158"
BoP,81,M,24,3,3,3,3,465,495,21,516
BoP,81,F,48,3,3,3,9,525,585,21,606
BoP,81,Total,75,3,3,3,12,990,"1,083",39,"1,122"
BoP,82,M,24,3,3,3,12,465,504,24,528
BoP,82,F,51,3,3,3,3,519,579,36,615
BoP,82,Total,75,3,3,3,12,984,"1,083",63,"1,146"
BoP,83,M,21,3,3,3,3,414,438,27,462
BoP,83,F,36,3,3,3,3,474,516,27,546
BoP,83,Total,57,3,3,3,6,888,954,54,"1,008"
BoP,84,M,12,3,3,3,3,384,402,18,423
BoP,84,F,15,3,3,3,3,417,435,12,447
BoP,84,Total,30,3,3,3,3,801,840,33,870
BoP,85,M,12,3,3,3,3,300,318,15,333
BoP,85,F,18,3,3,3,3,414,438,12,447
BoP,85,Total,30,3,3,3,3,717,750,30,780
BoP,86,M,9,3,3,3,3,267,279,12,288
BoP,86,F,24,3,3,3,3,378,411,18,426
BoP,86,Total,33,3,3,3,3,645,687,27,717
BoP,87,M,12,3,3,3,6,210,228,9,237
BoP,87,F,15,3,3,3,3,330,348,9,360
BoP,87,Total,24,3,3,3,9,537,576,18,594
BoP,88,M,3,3,3,3,3,189,198,6,204
BoP,88,F,21,3,3,3,3,327,351,12,363
BoP,88,Total,27,3,3,3,3,513,546,21,567
BoP,89,M,3,3,3,3,3,180,183,9,192
BoP,89,F,6,3,3,3,3,243,255,6,261
BoP,89,Total,9,3,3,3,3,423,438,12,453
BoP,90,M,3,3,3,3,3,108,111,3,117
BoP,90,F,3,3,3,3,3,210,219,3,222
BoP,90,Total,3,3,3,3,3,318,330,3,336
BoP,91,M,3,3,3,3,3,96,93,3,99
BoP,91,F,3,3,3,3,3,207,213,3,216
BoP,91,Total,3,3,3,3,3,303,309,3,315
BoP,92,M,3,3,3,3,3,78,78,3,84
BoP,92,F,3,3,3,3,3,150,153,6,159
BoP,92,Total,3,3,3,3,3,228,231,12,243
BoP,93,M,3,3,3,3,3,45,45,3,48
BoP,93,F,3,3,3,3,3,102,105,6,114
BoP,93,Total,3,3,3,3,3,147,153,6,162
BoP,94,M,3,3,3,3,3,27,30,3,30
BoP,94,F,3,3,3,3,3,69,69,3,75
BoP,94,Total,3,3,3,3,3,96,102,3,108
BoP,95,M,3,3,3,3,3,21,21,3,21
BoP,95,F,3,3,3,3,3,63,66,3,69
BoP,95,Total,3,3,3,3,3,81,84,3,87
BoP,96,M,3,3,3,3,3,24,27,3,27
BoP,96,F,3,3,3,3,3,45,51,6,57
BoP,96,Total,6,3,3,3,3,72,78,6,84
BoP,97,M,3,3,3,3,3,9,12,3,12
BoP,97,F,3,3,3,3,3,42,45,3,45
BoP,97,Total,3,3,3,3,3,54,54,3,54
BoP,98,M,3,3,3,3,3,3,3,3,3
BoP,98,F,3,3,3,3,3,21,21,3,24
BoP,98,Total,3,3,3,3,3,27,27,3,27
BoP,99,M,3,3,3,3,3,6,6,3,6
